,Company,Job type,State,date Posted,Part time/full time,Min salary,Max salary,Avg_salary,Posting_age_days,job_description
0,Sytron India,Plumber,Maharashtra,2025-03-25 00:00:00,Full Time,15000,20000,17500,33,"Plumber role in Maharashtra.
Average salary: $17,500."
1,Urban Fire Safety Solution,Plumber,Uttar Pradesh,2025-03-25 00:00:00,Full Time,18000,24000,21000,33,"Plumber role in Uttar Pradesh.
Average salary: $21,000."
2,Ideesys,Plumber,Karnataka,2025-03-24 00:00:00,Full Time,18000,20000,19000,34,"Plumber role in Karnataka.
Average salary: $19,000."
3,Big Basket,Plumber,Tamil Nadu,2025-03-24 00:00:00,Full Time,17000,18000,17500,34,"Plumber role in Tamil Nadu.
Average salary: $17,500."
4,Sytron India,Plumber,Maharashtra,2025-03-20 00:00:00,Full Time,15000,20000,17500,38,"Plumber role in Maharashtra.
Average salary: $17,500."
5,Jaswant Kaur Associates Private Limited,Plumber,Uttar Pradesh,2025-03-20 00:00:00,Full Time,10000,28000,19000,38,"Plumber role in Uttar Pradesh.
Average salary: $19,000."
6,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization,"Gujarat, Karnataka, Tamil Nadu",2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization role in Gujarat, Karnataka, Tamil Nadu.
Average salary: $977,083."
7,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; Migration Specialist,Delhi,2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; Migration Specialist role in Delhi.
Average salary: $977,083."
8,Sterling And Wilson Pvt Ltd,Plumber,Maharashtra,2025-03-20 00:00:00,Full Time,22000,23000,22500,38,"Plumber role in Maharashtra.
Average salary: $22,500."
9,Cushman & Wakefield,Plumber,Haryana,2025-03-17 00:00:00,Full Time,19166,21666,20416,41,"Plumber role in Haryana.
Average salary: $20,416."
10,Feasible Technologies Private Limited,Plumber,Maharashtra,2025-03-13 00:00:00,Full Time,20000,22000,21000,45,"Plumber role in Maharashtra.
Average salary: $21,000."
11,Adira Wastewater Treatment and Management,Plumber,Maharashtra,2025-03-13 00:00:00,Full Time,13000,15000,14000,45,"Plumber role in Maharashtra.
Average salary: $14,000."
12,Zolostays Property Solutions Private Limited,Electrical Maintenance Plumber,Karnataka,2025-03-12 00:00:00,Full Time,25000,30000,27500,46,"Electrical Maintenance Plumber role in Karnataka.
Average salary: $27,500."
13,INA TECHFM GLOBAL SOLUTIONS PVT LTD,Plumber,Maharashtra,2025-03-03 00:00:00,Full Time,12500,16666,14583,55,"Plumber role in Maharashtra.
Average salary: $14,583."
14,SAMS Facilities Management Pvt Ltd,Plumber,Haryana,2024-11-06 00:00:00,Full Time,15000,20000,17500,172,"Plumber role in Haryana.
Average salary: $17,500."
15,SAMS Facilities Management Pvt Ltd,Plumber,Uttar Pradesh,2024-11-06 00:00:00,Full Time,15000,20000,17500,172,"Plumber role in Uttar Pradesh.
Average salary: $17,500."
16,SAMS Facilities Management Pvt Ltd,Plumber,Haryana,2024-11-05 00:00:00,Full Time,15000,20000,17500,173,"Plumber role in Haryana.
Average salary: $17,500."
17,OCS Group india pvt ltd,Electrician,Tamil Nadu,2025-03-25 00:00:00,Full Time,16666,25000,20833,33,"Electrician role in Tamil Nadu.
Average salary: $20,833."
18,"Rubber, Chemical & petrochemical Skill Development Council",Rubber Internal Mixer Operator,Tamil Nadu,2025-03-25 00:00:00,Full Time,10833,25000,17916.5,33,"Rubber Internal Mixer Operator role in Tamil Nadu.
Average salary: $17,916."
19,Damro Furniture,Showroom Sales Executive,Tamil Nadu,2025-03-25 00:00:00,Full Time,20000,28000,24000,33,"Showroom Sales Executive role in Tamil Nadu.
Average salary: $24,000."
20,Ada Tech Solutions Private Limited,Career Consultant,Maharashtra,2025-03-25 00:00:00,Full Time,10000,25000,17500,33,"Career Consultant role in Maharashtra.
Average salary: $17,500."
21,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; Migration Specialist,Delhi,2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; Migration Specialist role in Delhi.
Average salary: $977,083."
22,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; Migration Specialist,Maharashtra,2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; Migration Specialist role in Maharashtra.
Average salary: $977,083."
23,Lenskart,Field Sales Executive,Maharashtra,2025-03-25 00:00:00,Full Time,17000,30400,23700,33,"Field Sales Executive role in Maharashtra.
Average salary: $23,700."
24,Euroco Multi Trade Llp,Restaurant Manager,Maharashtra,2025-03-25 00:00:00,Full Time,20000,25000,22500,33,"Restaurant Manager role in Maharashtra.
Average salary: $22,500."
25,M/s RS Rainbow,Counter Salesperson,Uttar Pradesh,2025-03-25 00:00:00,Full Time,8000,13000,10500,33,"Counter Salesperson role in Uttar Pradesh.
Average salary: $10,500."
26,Channelplay,IPro For Apple,Karnataka,2025-03-25 00:00:00,Full Time,30000,51326,40663,33,"IPro For Apple role in Karnataka.
Average salary: $40,663."
27,Sri Gajanan E Slates,Receptionist,Telangana,2025-03-25 00:00:00,Full Time,12000,16000,14000,33,"Receptionist role in Telangana.
Average salary: $14,000."
28,Zomato,Food Delivery Boy,Puducherry,2025-03-25 00:00:00,Full Time,35000,50000,42500,33,"Food Delivery Boy role in Puducherry.
Average salary: $42,500."
29,Dharmaj Technologies,Asst. Electronic Engineer,Gujarat,2025-03-25 00:00:00,Full Time,12000,15000,13500,33,"Asst. Electronic Engineer role in Gujarat.
Average salary: $13,500."
30,Channelplay,Acer Product Consultant For Acer,Maharashtra,2025-03-25 00:00:00,Full Time,27000,39600,33300,33,"Acer Product Consultant For Acer role in Maharashtra.
Average salary: $33,300."
31,Zechrome Technologies,Full-stack Developer,Gujarat,2025-03-25 00:00:00,Full Time,20000,30000,25000,33,"Full-stack Developer role in Gujarat.
Average salary: $25,000."
32,Infinity Learn,Ed Tech Sales,Karnataka,2025-03-25 00:00:00,Full Time,20000,40000,30000,33,"Ed Tech Sales role in Karnataka.
Average salary: $30,000."
33,Pitambra Film & Production LLP,Customer Relationship Manager,Madhya Pradesh,2025-03-25 00:00:00,Full Time,12000,25000,18500,33,"Customer Relationship Manager role in Madhya Pradesh.
Average salary: $18,500."
34,Jai Sheetla Automobiles,Car Driver,Haryana,2025-03-25 00:00:00,Full Time,15000,20000,17500,33,"Car Driver role in Haryana.
Average salary: $17,500."
35,Tax Genius,Process Executive Intern,Telangana,2025-03-16 00:00:00,Full Time,15000,18000,16500,42,"Process Executive Intern role in Telangana.
Average salary: $16,500."
36,PhonePe,Field Sales Executive,Telangana,2025-03-16 00:00:00,Full Time,16000,32000,24000,42,"Field Sales Executive role in Telangana.
Average salary: $24,000."
37,Bombay Fresh Fish Suppliers Llp,Helper / Delivery,Maharashtra,2025-03-16 00:00:00,Full Time,12000,15000,13500,42,"Helper / Delivery role in Maharashtra.
Average salary: $13,500."
38,3I Infotech Limited,Node Js Developer,Karnataka,2025-03-16 00:00:00,Full Time,80000,100000,90000,42,"Node Js Developer role in Karnataka.
Average salary: $90,000."
39,Pragati Enterprises,Supervisor/Incharge,Maharashtra,2025-03-16 00:00:00,Full Time,19000,21000,20000,42,"Supervisor/Incharge role in Maharashtra.
Average salary: $20,000."
40,Ipcsglobal Solutions Private Limited,Business Development Executive,Chhattisgarh,2025-03-16 00:00:00,Full Time,17000,20000,18500,42,"Business Development Executive role in Chhattisgarh.
Average salary: $18,500."
41,T.M.Inputs And Services Private Limited,Area Manager,Maharashtra,2025-03-12 00:00:00,Full Time,1000000,1400000,1200000,46,"Area Manager role in Maharashtra.
Average salary: $1,200,000."
42,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization,"Gujarat, Karnataka, Tamil Nadu",2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization role in Gujarat, Karnataka, Tamil Nadu.
Average salary: $977,083."
43,Empire Group,Sales Manager,Maharashtra,2025-03-16 00:00:00,Full Time,10000,20000,15000,42,"Sales Manager role in Maharashtra.
Average salary: $15,000."
44,Ciao Green Private Limited,Sr Interior Designer & 3D Visualizer,Haryana,2025-03-16 00:00:00,Full Time,30000,60000,45000,42,"Sr Interior Designer & 3D Visualizer role in Haryana.
Average salary: $45,000."
45,InstaMart,Picker / Packer,Tamil Nadu,2025-03-16 00:00:00,Full Time,13000,16500,14750,42,"Picker / Packer role in Tamil Nadu.
Average salary: $14,750."
46,Tax Genius,Process Executive Intern,Telangana,2025-03-16 00:00:00,Full Time,15000,18000,16500,42,"Process Executive Intern role in Telangana.
Average salary: $16,500."
47,PhonePe,Field Sales Executive,Telangana,2025-03-16 00:00:00,Full Time,16000,32000,24000,42,"Field Sales Executive role in Telangana.
Average salary: $24,000."
48,Bombay Fresh Fish Suppliers Llp,Helper / Delivery,Maharashtra,2025-03-16 00:00:00,Full Time,12000,15000,13500,42,"Helper / Delivery role in Maharashtra.
Average salary: $13,500."
49,3I Infotech Limited,Node Js Developer,Karnataka,2025-03-16 00:00:00,Full Time,80000,100000,90000,42,"Node Js Developer role in Karnataka.
Average salary: $90,000."
50,Pragati Enterprises,Supervisor/Incharge,Maharashtra,2025-03-16 00:00:00,Full Time,19000,21000,20000,42,"Supervisor/Incharge role in Maharashtra.
Average salary: $20,000."
51,Ipcsglobal Solutions Private Limited,Business Development Executive,Chhattisgarh,2025-03-16 00:00:00,Full Time,17000,20000,18500,42,"Business Development Executive role in Chhattisgarh.
Average salary: $18,500."
52,T.M.Inputs And Services Private Limited,Area Manager,Maharashtra,2025-03-12 00:00:00,Full Time,1000000,1400000,1200000,46,"Area Manager role in Maharashtra.
Average salary: $1,200,000."
53,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization,"Gujarat, Karnataka, Tamil Nadu",2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization role in Gujarat, Karnataka, Tamil Nadu.
Average salary: $977,083."
54,Empire Group,Sales Manager,Maharashtra,2025-03-16 00:00:00,Full Time,10000,20000,15000,42,"Sales Manager role in Maharashtra.
Average salary: $15,000."
55,Ciao Green Private Limited,Sr Interior Designer & 3D Visualizer,Haryana,2025-03-16 00:00:00,Full Time,30000,60000,45000,42,"Sr Interior Designer & 3D Visualizer role in Haryana.
Average salary: $45,000."
56,InstaMart,Picker / Packer,Tamil Nadu,2025-03-16 00:00:00,Full Time,13000,16500,14750,42,"Picker / Packer role in Tamil Nadu.
Average salary: $14,750."
57,Tax Genius,Process Executive Intern,Telangana,2025-03-16 00:00:00,Full Time,15000,18000,16500,42,"Process Executive Intern role in Telangana.
Average salary: $16,500."
58,PhonePe,Field Sales Executive,Telangana,2025-03-16 00:00:00,Full Time,16000,32000,24000,42,"Field Sales Executive role in Telangana.
Average salary: $24,000."
59,Bombay Fresh Fish Suppliers Llp,Helper / Delivery,Maharashtra,2025-03-16 00:00:00,Full Time,12000,15000,13500,42,"Helper / Delivery role in Maharashtra.
Average salary: $13,500."
60,3I Infotech Limited,Node Js Developer,Karnataka,2025-03-16 00:00:00,Full Time,80000,100000,90000,42,"Node Js Developer role in Karnataka.
Average salary: $90,000."
61,Pragati Enterprises,Supervisor/Incharge,Maharashtra,2025-03-16 00:00:00,Full Time,19000,21000,20000,42,"Supervisor/Incharge role in Maharashtra.
Average salary: $20,000."
62,Ipcsglobal Solutions Private Limited,Business Development Executive,Chhattisgarh,2025-03-16 00:00:00,Full Time,17000,20000,18500,42,"Business Development Executive role in Chhattisgarh.
Average salary: $18,500."
63,T.M.Inputs And Services Private Limited,Area Manager,Maharashtra,2025-03-12 00:00:00,Full Time,1000000,1400000,1200000,46,"Area Manager role in Maharashtra.
Average salary: $1,200,000."
64,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization,"Gujarat, Karnataka, Tamil Nadu",2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization role in Gujarat, Karnataka, Tamil Nadu.
Average salary: $977,083."
65,Empire Group,Sales Manager,Maharashtra,2025-03-16 00:00:00,Full Time,10000,20000,15000,42,"Sales Manager role in Maharashtra.
Average salary: $15,000."
66,Ciao Green Private Limited,Sr Interior Designer & 3D Visualizer,Haryana,2025-03-16 00:00:00,Full Time,30000,60000,45000,42,"Sr Interior Designer & 3D Visualizer role in Haryana.
Average salary: $45,000."
67,InstaMart,Picker / Packer,Tamil Nadu,2025-03-16 00:00:00,Full Time,13000,16500,14750,42,"Picker / Packer role in Tamil Nadu.
Average salary: $14,750."
68,Tax Genius,Process Executive Intern,Telangana,2025-03-16 00:00:00,Full Time,15000,18000,16500,42,"Process Executive Intern role in Telangana.
Average salary: $16,500."
69,PhonePe,Field Sales Executive,Telangana,2025-03-16 00:00:00,Full Time,16000,32000,24000,42,"Field Sales Executive role in Telangana.
Average salary: $24,000."
70,Bombay Fresh Fish Suppliers Llp,Helper / Delivery,Maharashtra,2025-03-16 00:00:00,Full Time,12000,15000,13500,42,"Helper / Delivery role in Maharashtra.
Average salary: $13,500."
71,3I Infotech Limited,Node Js Developer,Karnataka,2025-03-16 00:00:00,Full Time,80000,100000,90000,42,"Node Js Developer role in Karnataka.
Average salary: $90,000."
72,Pragati Enterprises,Supervisor/Incharge,Maharashtra,2025-03-16 00:00:00,Full Time,19000,21000,20000,42,"Supervisor/Incharge role in Maharashtra.
Average salary: $20,000."
73,Ipcsglobal Solutions Private Limited,Business Development Executive,Chhattisgarh,2025-03-16 00:00:00,Full Time,17000,20000,18500,42,"Business Development Executive role in Chhattisgarh.
Average salary: $18,500."
74,T.M.Inputs And Services Private Limited,Area Manager,Maharashtra,2025-03-12 00:00:00,Full Time,1000000,1400000,1200000,46,"Area Manager role in Maharashtra.
Average salary: $1,200,000."
75,Bright Vision Technologies LLC,AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization,"Gujarat, Karnataka, Tamil Nadu",2025-03-16 00:00:00,Full Time,708333,1245833,977083,42,"AWS Cloud Engineer andndash; FinOps andamp; Cost Optimization role in Gujarat, Karnataka, Tamil Nadu.
Average salary: $977,083."
76,Empire Group,Sales Manager,Maharashtra,2025-03-16 00:00:00,Full Time,10000,20000,15000,42,"Sales Manager role in Maharashtra.
Average salary: $15,000."
77,Ciao Green Private Limited,Sr Interior Designer & 3D Visualizer,Haryana,2025-03-16 00:00:00,Full Time,30000,60000,45000,42,"Sr Interior Designer & 3D Visualizer role in Haryana.
Average salary: $45,000."
78,InstaMart,Picker / Packer,Tamil Nadu,2025-03-16 00:00:00,Full Time,13000,16500,14750,42,"Picker / Packer role in Tamil Nadu.
Average salary: $14,750."
79,Tax Genius,Process Executive Intern,Telangana,2025-03-16 00:00:00,Full Time,15000,18000,16500,42,"Process Executive Intern role in Telangana.
Average salary: $16,500."
80,PhonePe,Field Sales Executive,Telangana,2025-03-16 00:00:00,Full Time,16000,32000,24000,42,"Field Sales Executive role in Telangana.
Average salary: $24,000."
81,Bombay Fresh Fish Suppliers Llp,Helper / Delivery,Maharashtra,2025-03-16 00:00:00,Full Time,12000,15000,13500,42,"Helper / Delivery role in Maharashtra.
Average salary: $13,500."
